"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","Unpack2bitSamplesTest","","Unpack2bitSamplesTest","","CheckBigEndianShortLittleEndianByte",""
"passed","Fri Dec 20 09:55:46 GMT 2024","Fri Dec 20 09:55:46 GMT 2024","4","","GalileoE1PcpsAmbiguousAcquisitionTest","","GalileoE1PcpsAmbiguousAcquisitionTest","","Instantiate",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","1","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateRTKLIBPvt",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateGalileoE1DllPllVemlTracking",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GlonassGnavNavigationMessageTest","","GlonassGnavNavigationMessageTest","","String4Decoder",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE1BTest","","ReedSolomonE1BTest","","DecodeNoErrors",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateFIRFilter",""
"passed","Fri Dec 20 09:54:24 GMT 2024","Fri Dec 20 09:54:24 GMT 2024","5","","GalileoE5aPcpsAcquisitionGSoC2014GensourceTest","","GalileoE5aPcpsAcquisitionGSoC2014GensourceTest","","ConnectAndRun",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateWrongFilter",""
"passed","Fri Dec 20 09:55:34 GMT 2024","Fri Dec 20 09:55:34 GMT 2024","0","","DllNcEMinusLNormalizedTest","","DllNcEMinusLNormalizedTest","","SinBoc11",""
"passed","Fri Dec 20 09:54:25 GMT 2024","Fri Dec 20 09:54:25 GMT 2024","6","","GalileoE6PcpsAcquisitionTest","","GalileoE6PcpsAcquisitionTest","","ConnectAndRun",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","RtcmTest","","RtcmTest","","InstantiateServer",""
